"www.agrometeorologia.cl","",""
"Red Agrometeorológica de INIA","",""
"Generado el 20-08-2024 18:30:09","",""
"San Pedro de Melipilla, San Pedro","",""
"","",""
"Tiempo UTC-4","Horas Frío ","Horas Frío % de datos "
"Ene-2019","0","100"
"Feb-2019","7","100"
"Mar-2019","31","100"
"Abr-2019","105","100"
"May-2019","168","99"
"Jun-2019","289","100"
"Jul-2019","299","100"
"Ago-2019","205","100"
"Sep-2019","132","100"
"Oct-2019","100","100"
"Nov-2019","26","100"
"Dic-2019","0","100"
"Ene-2020","0","100"
"Feb-2020","1","100"
"Mar-2020","15","100"
"Abr-2020","97","100"
"May-2020","138","100"
"Jun-2020","205","100"
"Jul-2020","218","100"
"Ago-2020","241","100"
"Sep-2020","174","100"
"Oct-2020","139","100"
"Nov-2020","43","100"
"Dic-2020","4","100"
"Ene-2021","7","100"
"Feb-2021","5","100"
"Mar-2021","45","100"
"Abr-2021","85","100"
"May-2021","195","100"
"Jun-2021","194","100"
"Jul-2021","277","100"
"Ago-2021","178","100"
"Sep-2021","203","100"
"Oct-2021","120","100"
"Nov-2021","37","100"
"Dic-2021","14","100"
"Ene-2022","17","100"
"Feb-2022","5","100"
"Mar-2022","56","100"
"Abr-2022","117","100"
"May-2022","164","100"
"Jun-2022","233","100"
"Jul-2022","311","100"
"Ago-2022","245","100"
"Sep-2022","163","100"
"Oct-2022","103","100"
"Nov-2022","39","100"
"Dic-2022","5","100"
"Ene-2023","2","100"
"Feb-2023","0","100"
"Mar-2023","21","100"
"Abr-2023","73","98"
"May-2023","178","100"
"Jun-2023","180","100"
"Jul-2023","230","100"
"Ago-2023","158","100"
"Sep-2023","109","100"
"Oct-2023","118","100"
"Nov-2023","68","100"
"Dic-2023","31","100"
"Ene-2024","3","97"
"","",""
"","",""
"El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.","",""
"Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png","",""
